Query,RetrievedDocuments
40001.query,VOM19980630.0700.0238 VOM19980630.0700.0238 VOM19980630.0900.0105 VOM19980604.0730.0077 VOM19980604.0700.0157 
40002.query,VOM19980507.0700.0521 VOM19980529.0700.0334 VOM19980529.0900.0148 VOM19980529.0730.0148 VOM19980326.0700.2359 
40003.query,VOM19980614.0700.0302 VOM19980220.0700.1159 VOM19980630.0730.0136 VOM19980614.0730.0231 VOM19980222.0700.0448 
40004.query,VOM19980630.0730.0002 VOM19980630.0900.0005 VOM19980630.0700.0032 VOM19980220.0900.1197 VOM19980528.0900.0135 
40005.query,VOM19980317.0700.2420 VOM19980326.0900.2164 VOM19980326.0700.2359 VOM19980326.0900.1939 VOM19980610.0700.0551 
40006.query,VOM19980630.0700.0238 VOM19980630.0700.0238 VOM19980630.0900.0105 VOM19980630.0730.0091 VOM19980524.0730.0031 
40007.query,VOM19980630.0700.0238 VOM19980630.0700.0238 VOM19980630.0900.0105 VOM19980604.0700.0126 VOM19980604.0730.0077 
40008.query,VOM19980630.0730.0136 VOM19980314.0700.0275 VOM19980314.0700.0275 VOM19980315.0700.2184 VOM19980224.0700.0588 
40009.query,VOM19980625.0730.0090 VOM19980602.0900.0193 VOM19980319.0900.0364 VOM19980220.0700.1159 VOM19980222.0700.0448 
40010.query,VOM19980225.0900.2949 VOM19980403.0900.0124 VOM19980428.0900.0080 VOM19980403.0900.2034 VOM19980326.0700.2359 
40011.query,VOM19980302.0700.3552 VOM19980225.0900.2949 VOM19980326.0700.2359 VOM19980326.0900.2164 VOM19980220.0700.1159 
40012.query,VOM19980225.0900.0458 VOM19980624.0900.0261 VOM19980225.0900.2154 VOM19980223.0900.1900 VOM19980223.0900.3502 
40013.query,VOM19980220.0700.1297 VOM19980319.0700.0452 VOM19980606.0730.0212 VOM19980620.0730.0270 VOM19980327.0900.1545 
40014.query,VOM19980406.0900.0044 VOM19980327.0900.2062 VOM19980317.0900.2819 VOM19980618.0700.0114 VOM19980530.0700.0318 
40015.query,VOM19980618.0700.0187 VOM19980630.0700.0238 VOM19980630.0700.0238 VOM19980630.0900.0105 VOM19980228.0700.2757 
40016.query,VOM19980611.0700.0548 VOM19980616.0700.0538 VOM19980610.0700.0551 VOM19980617.0700.0554 VOM19980618.0700.0076 
40017.query,VOM19980317.0700.0156 VOM19980602.0900.0035 VOM19980623.0900.0051 VOM19980602.0730.0102 VOM19980223.0900.2779 
40018.query,VOM19980618.0700.0114 VOM19980529.0700.0392 VOM19980618.0700.0542 VOM19980222.0700.0448 VOM19980520.0700.0476 
40019.query,VOM19980406.0900.0044 VOM19980327.0900.2062 VOM19980511.0700.0105 VOM19980618.0700.0187 VOM19980616.0900.0100 
40020.query,VOM19980603.0700.0545 VOM19980526.0730.0266 VOM19980630.0700.0457 VOM19980624.0700.0546 VOM19980306.0700.0593 
40021.query,VOM19980325.0900.3425 VOM19980325.0900.3393 VOM19980312.0900.2016 VOM19980220.0900.2583 VOM19980223.0700.0765 
40022.query,VOM19980616.0700.0538 VOM19980618.0700.0187 VOM19980611.0700.0548 VOM19980610.0700.0551 VOM19980620.0700.0040 
40023.query,VOM19980616.0700.0538 VOM19980618.0700.0187 VOM19980611.0700.0548 VOM19980610.0700.0551 VOM19980618.0700.0076 
